bayes,locus,p.value,adj.p.value
0.5384615384615384,Rv1136,4.7554593352039376e-7,1.7051253164241513e-5
0.5384615384615384,Rv3767c,4.7554593352039376e-7,1.7051253164241513e-5
0.5384615384615384,vapB36,4.7554593352039376e-7,1.7051253164241513e-5
0.5384615384615384,pafA,4.7554593352039376e-7,1.7051253164241513e-5
0.5294117647058824,Rv1313c-Rv1314c,8.605116892379527e-7,3.0437693872707315e-5
0.5294117647058824,Rv2177c-aroG,8.605116892379527e-7,3.0437693872707315e-5
0.5238095238095238,php,1.3587026672645663e-6,4.773696955120808e-5
0.5217391304347826,Rv1742,1.7210233784759055e-6,6.00637159088091e-5
0.52,Rv0857,1.9474738229829924e-6,6.751672492262229e-5
0.5185185185185185,cfp2,2.0833440896872446e-6,7.128304777459299e-5
0.5185185185185185,secD,2.0833440896872446e-6,7.128304777459299e-5
0.5151515151515151,lipR,3.442046756951811e-6,1.1700723878339436e-4
0.5072463768115942,Rv1680,6.363257491481811e-6,2.1491389011553082e-4
0.5068493150684932,Rv0324,6.54441784708748e-6,2.196155604455318e-4
0.5066666666666667,guaB2-Rv3412,6.589707935988898e-6,2.1972688563631773e-4
0.5,Rv1975-Rv1976c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,rpmH,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv1104,1.1707487982515197e-5,2.3755309918010488e-4
0.5,proZ,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv2913c-pknI,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0371c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv3334,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv3575c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,fbiA,1.1707487982515197e-5,2.3755309918010488e-4
0.5,PPE9-purT,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0829-Rv0830,1.1707487982515197e-5,2.3755309918010488e-4
0.5,rpmB2-Rv2059,1.1707487982515197e-5,2.3755309918010488e-4
0.5,oppB-canA,1.1707487982515197e-5,2.3755309918010488e-4
