sample,dilution,colonies
wt-1-a,0.00001,15
wt-2-a,0.00001,11
wt-3-a,0.00001,16
wt-4-a,0.00001,16
wt-5-a,0.00001,22
wt-6-a,0.00001,10
wt-7-a,0.00001,25
wt-8-a,0.00001,20
wt-9-a,0.00001,13
wt-10-a,0.00001,18
wt-11-a,0.00001,10
wt-12-a,0.00001,22
fas-1-a,0.00001,17
fas-2-a,0.00001,31
fas-3-a,0.00001,27
fas-4-a,0.00001,27
fas-5-a,0.00001,12
fas-6-a,0.00001,25
fas-7-a,0.00001,26
fas-8-a,0.00001,11
fas-9-a,0.00001,26
fas-10-a,0.00001,25
fas-11-a,0.00001,31
fas-12-a,0.00001,25
ohrR-1-a,0.00001,18
ohrR-2-a,0.00001,50
ohrR-3-a,0.00001,19
ohrR-4-a,0.00001,20
ohrR-5-a,0.00001,17
ohrR-6-a,0.00001,23
ohrR-7-a,0.00001,30
ohrR-8-a,0.00001,48
ohrR-9-a,0.00001,56
ohrR-10-a,0.00001,43
ohrR-11-a,0.00001,25
ohrR-12-a,0.00001,51
