name,concentration,mutants
wt-1,500,39
wt-2,500,17
wt-3,500,10
wt-4,500,15
wt-5,500,14
wt-6,500,12
wt-7,500,0
wt-8,500,13
wt-9,500,15
wt-10,500,13
wt-11,500,23
wt-12,500,11
ohrR-1,500,67
ohrR-2,500,66
ohrR-3,500,72
ohrR-4,500,54
ohrR-5,500,398
ohrR-6,500,48
ohrR-7,500,73
ohrR-8,500,81
ohrR-9,500,124
ohrR-10,500,61
ohrR-11,500,160
ohrR-12,500,68
mfs1-1,500,21
mfs1-2,500,24
mfs1-3,500,41
mfs1-4,500,49
mfs1-5,500,48
mfs1-6,500,44
mfs1-7,500,59
mfs1-8,500,32
mfs1-9,500,52
mfs1-10,500,63
mfs1-11,500,46
mfs1-12,500,54
ntaA-1,500,21
ntaA-2,500,12
ntaA-3,500,36
ntaA-4,500,16
ntaA-5,500,30
ntaA-6,500,18
ntaA-7,500,12
ntaA-8,500,28
ntaA-9,500,29
ntaA-10,500,67
ntaA-11,500,48
ntaA-12,500,42
