name,concentration,mutants
wt-1,500,51
wt-2,500,41
wt-3,500,67
wt-4,500,35
wt-5,500,20
wt-6,500,32
wt-7,500,18
wt-8,500,24
wt-9,500,37
wt-10,500,79
wt-11,500,84
wt-12,500,94
fas-1,500,39
fas-2,500,58
fas-3,500,72
fas-4,500,11
fas-5,500,19
fas-6,500,33
fas-7,500,18
fas-8,500,22
fas-9,500,38
fas-10,500,73
fas-11,500,39
fas-12,500,76
ohrR-1,500,141
ohrR-2,500,89
ohrR-3,500,160
ohrR-4,500,132
ohrR-5,500,180
ohrR-6,500,158
ohrR-7,500,210
ohrR-8,500,82
ohrR-9,500,120
ohrR-10,500,241
ohrR-11,500,72
ohrR-12,500,265
