sample,dilution,colonies
wt-1-a,0.00001,12
wt-2-a,0.00001,14
wt-3-a,0.00001,13
wt-4-a,0.00001,16
wt-5-a,0.00001,12
wt-6-a,0.00001,16
wt-7-a,0.00001,12
wt-8-a,0.00001,10
wt-9-a,0.00001,14
wt-10-a,0.00001,15
wt-11-a,0.00001,16
wt-12-a,0.00001,21
wt-1-b,0.00001,17
wt-2-b,0.00001,13
wt-3-b,0.00001,13
wt-4-b,0.00001,14
wt-5-b,0.00001,11
wt-6-b,0.00001,4
wt-7-b,0.00001,11
wt-8-b,0.00001,15
wt-9-b,0.00001,10
wt-10-b,0.00001,17
wt-11-b,0.00001,15
wt-12-b,0.00001,14
fas-1-a,0.00001,15
fas-2-a,0.00001,18
fas-3-a,0.00001,13
fas-4-a,0.00001,19
fas-5-a,0.00001,11
fas-6-a,0.00001,11
fas-7-a,0.00001,14
fas-8-a,0.00001,19
fas-9-a,0.00001,10
fas-10-a,0.00001,14
fas-11-a,0.00001,14
fas-12-a,0.00001,13
fas-1-b,0.00001,15
fas-2-b,0.00001,12
fas-3-b,0.00001,15
fas-4-b,0.00001,12
fas-5-b,0.00001,16
fas-6-b,0.00001,12
fas-7-b,0.00001,12
fas-8-b,0.00001,15
fas-9-b,0.00001,17
fas-10-b,0.00001,19
fas-11-b,0.00001,12
fas-12-b,0.00001,17
ohrR-1-a,0.00001,8
ohrR-2-a,0.00001,7
ohrR-3-a,0.00001,10
ohrR-4-a,0.00001,10
ohrR-5-a,0.00001,8
ohrR-6-a,0.00001,11
ohrR-7-a,0.00001,9
ohrR-8-a,0.00001,7
ohrR-9-a,0.00001,7
ohrR-10-a,0.00001,9
ohrR-11-a,0.00001,8
ohrR-12-a,0.00001,13
ohrR-1-b,0.00001,6
ohrR-2-b,0.00001,8
ohrR-3-b,0.00001,9
ohrR-4-b,0.00001,7
ohrR-5-b,0.00001,7
ohrR-6-b,0.00001,9
ohrR-7-b,0.00001,11
ohrR-8-b,0.00001,11
ohrR-9-b,0.00001,12
ohrR-10-b,0.00001,13
ohrR-11-b,0.00001,8
ohrR-12-b,0.00001,7
