strain,replicate,nad.total,nadh.total,ratio,treatment
wt-anc,a,14.18711601011926,1.7016624503071909,0.11994421199442115,minus INH
wt-anc,b,13.17799060354174,1.6818756776292008,0.1276276276276276,minus INH
wt-s1,a,8.053216479942172,4.9466931694976495,0.6142506142506143,minus INH
wt-s1,b,9.161275749909647,4.175009035056016,0.45572354211663063,minus INH
wt-s1,a,0,0,0,plus INH
wt-s1,b,0,0,0,plus INH
