plate,strain,replicate,isoniazid,cfus,rfus,exp,rep.label,rfus.per.cfu,inh.label,fc
2,ohrR-L10,a,500,8000000,5660.5,2,ohrR-L10-a,7.075625e-4,"500 µg/mL
isoniazid",0.7941403418523628
2,ohrR-L10,b,500,8000000,5247.5,2,ohrR-L10-b,6.559375e-4,"500 µg/mL
isoniazid",0.7361984707835482
2,ohrR-L10,c,500,8000000,5536.5,2,ohrR-L10-c,6.920625e-4,"500 µg/mL
isoniazid",0.776743751022985
2,wj-wt,a,500,8000000,6823.5,2,wj-wt-a,8.529375e-4,"500 µg/mL
isoniazid",0.9840876859841837
2,wj-wt,b,500,8000000,7003.5,2,wj-wt-b,8.754375e-4,"500 µg/mL
isoniazid",1.0100473523543976
2,wj-wt,c,500,8000000,6974.5,2,wj-wt-c,8.718125e-4,"500 µg/mL
isoniazid",1.0058649616614186
2,mshA-ko,a,500,6500000,5615.5,2,mshA-ko-a,8.639230769230769e-4,"500 µg/mL
isoniazid",0.996762437620068
2,mshA-ko,b,500,8000000,7012.5,2,mshA-ko-b,8.765625e-4,"500 µg/mL
isoniazid",1.011345335672908
2,mshA-ko,c,500,8000000,7056.5,2,mshA-ko-c,8.820625e-4,"500 µg/mL
isoniazid",1.0176910318967383
2,mshA-comp,a,500,8000000,7612.5,2,mshA-comp-a,9.515625e-4,"500 µg/mL
isoniazid",1.0978775569069539
2,mshA-comp,b,500,8000000,5913.5,2,mshA-comp-b,7.391875e-4,"500 µg/mL
isoniazid",0.8528471504458813
2,mshA-comp,c,500,8000000,6715.5,2,mshA-comp-c,8.394375e-4,"500 µg/mL
isoniazid",0.9685118861620556
3,wj-wt,w,0,8000000,22033.214285714286,3,wj-wt-w,0.0027541517857142856,"0 µg/mL
isoniazid",1.1012182605203267
3,wj-wt,x,0,8000000,23142.928571428572,3,wj-wt-x,0.0028928660714285714,"0 µg/mL
isoniazid",1.1566816903922532
