sample,time.point,percent.survival,isolate
wt-a-1,30,0.36923076923076925,wt
wt-a-1,48,0.36307692307692313,wt
wt-a-1,72,0.018461538461538463,wt
wt-a-2,0,100,wt
wt-a-2,6,0.5861014764725179,wt
wt-a-2,24,0.019753360652598525,wt
wt-a-2,30,0.02100680539436153,wt
wt-a-2,48,2.5997372421751284e-5,wt
wt-a-2,72,3.063976035420687e-4,wt
wt-a-3,0,100,wt
wt-a-3,6,66.17647058823529,wt
wt-a-3,24,0.0096,wt
wt-a-3,30,0.9370588235294117,wt
wt-a-3,48,0.15988235294117645,wt
wt-a-3,72,0.0021176470588235292,wt
wt-a-4,0,100,wt
wt-a-4,6,60.46823407886722,wt
wt-a-4,24,0.005579202397676816,wt
wt-a-4,30,0.0044827117530466904,wt
wt-a-4,48,1.741485141471376e-5,wt
wt-a-4,72,8.642926257672755e-5,wt
wt-b-1,0,100,wt
wt-b-1,6,1194.1747572815534,wt
wt-b-1,24,0.2563106796116505,wt
wt-b-1,30,0.013514563106796116,wt
wt-b-1,48,0.01258252427184466,wt
wt-b-1,72,0.0055922330097087376,wt
wt-b-2,0,100,wt
wt-b-2,6,600,wt
wt-b-2,24,7.6499999999999995,wt
wt-b-2,30,0.30600000000000005,wt
wt-b-2,48,0.381,wt
wt-b-2,72,0.042,wt
wt-b-3,0,100,wt
wt-b-3,6,322.7848101265823,wt
wt-b-3,24,0.08324050632911392,wt
wt-b-3,30,0.3220253164556962,wt
wt-b-3,48,0.10632911392405063,wt
wt-b-3,72,0.013367088607594935,wt
wt-b-4,0,100,wt
wt-b-4,6,7670.454545454545,wt
wt-b-4,24,0.16123636363636365,wt
wt-b-4,30,0.006981818181818182,wt
wt-b-4,48,0.09745454545454545,wt
wt-b-4,72,0.017454545454545455,wt
wt-c-1,0,100,wt
wt-c-1,6,0.5840479608144904,wt
wt-c-1,24,4.7033266248372215e-5,wt
wt-c-1,30,3.0447851308156745e-5,wt
wt-c-1,48,1.1882088315378243e-6,wt
wt-c-1,72,1.4852610394222802e-6,wt
wt-c-2,0,100,wt
wt-c-2,6,109.30973840404484,wt
wt-c-2,24,0.005202022422510441,wt
wt-c-2,30,0.003587601670696856,wt
wt-c-2,48,3.013585403385359e-4,wt
wt-c-2,72,1.291536601450868e-4,wt
wt-c-3,0,100,wt
wt-c-3,6,175.2808988764045,wt
wt-c-3,24,0.369761797752809,wt
wt-c-3,30,0.20224719101123598,wt
wt-c-3,48,0.01402247191011236,wt
wt-c-3,72,0.0037752808988764045,wt
wt-c-4,0,100,wt
wt-c-4,6,87.30158730158729,wt
wt-c-4,24,0.03619047619047619,wt
wt-c-4,30,0.0021333333333333334,wt
wt-c-4,48,0.0030476190476190477,wt
wt-c-4,72,3.047619047619048e-4,wt
