colony.label,r,cs,toa,line,experiment,time.point,treatment,Cluster,colony,strain
C.I.post.plus_156_1,1485.0520179995074,16875.864350244163,50.79739680085506,C,I,post,plus,2,156,C_plus_156
C.I.post.plus_157_1,1511.511645465719,21379.244558407507,46.257612467353574,C,I,post,plus,2,157,C_plus_157
C.I.post.plus_158_1,1328.874518678222,16682.425517465526,49.1274761319239,C,I,post,plus,2,158,C_plus_158
C.I.post.plus_160_1,1314.8739615020115,16976.639812226585,47.70754358708422,C,I,post,plus,2,160,C_plus_160
C.I.post.plus_164_1,890.0731726634385,11178.333374308797,48.53750415906798,C,I,post,plus,2,164,C_plus_164
C.I.post.plus_165_1,2266.3618978642485,31441.02966355343,46.03762291815306,C,I,post,plus,1,165,C_plus_165
C.I.post.plus_166_1,988.7520027556851,10657.663084062859,51.68735452262077,C,I,post,plus,3,166,C_plus_166
C.I.post.plus_167_1,599.6483864301065,7356.007024332743,49.0774785071056,C,I,post,plus,3,167,C_plus_167
C.I.post.plus_168_1,723.3745851777652,8773.234229319374,48.907486582723386,C,I,post,plus,2,168,C_plus_168
C.I.post.plus_171_1,2440.841964477209,33407.27804336143,46.717590615681914,C,I,post,plus,1,171,C_plus_171
C.I.post.plus_172_1,517.1004251222697,5627.355305001971,51.617357847875155,C,I,post,plus,3,172,C_plus_172
C.I.post.plus_173_1,717.5325932252559,8140.0013329430885,50.47741200201796,C,I,post,plus,3,173,C_plus_173
C.I.post.plus_174_1,1185.7503802877447,14560.14803050877,49.2274713815605,C,I,post,plus,2,174,C_plus_174
C.I.post.plus_175_1,2049.832906716277,28773.593947844292,46.09762006793501,C,I,post,plus,2,175,C_plus_175
C.I.post.plus_176_1,2697.6438484562477,36374.42830505773,47.447555938029076,C,I,post,plus,1,176,C_plus_176
C.I.post.plus_177_1,1958.4319790690818,23649.28303676365,49.5474561803976,C,I,post,plus,2,177,C_plus_177
C.I.post.plus_181_1,1699.979620635247,20080.76041643101,49.587454280252246,C,I,post,plus,2,181,C_plus_181
C.I.post.plus_182_1,1032.0118797577275,11829.02751977536,50.74739917603677,C,I,post,plus,3,182,C_plus_182
C.I.post.plus_183_1,1064.2385442648904,12673.747963341975,49.25746995645147,C,I,post,plus,2,183,C_plus_183
C.I.post.plus_184_1,1502.867255909201,19356.578953078333,47.80753883672082,C,I,post,plus,2,184,C_plus_184
C.I.post.plus_186_1,1510.4518343054103,19063.69288071026,48.907486582723386,C,I,post,plus,2,186,C_plus_186
C.I.post.plus_187_1,3749.302108841957,55446.36769495163,45.32765664573322,C,I,post,plus,1,187,C_plus_187
C.I.post.plus_188_1,935.5215866704561,10082.282504911645,51.40736782363831,C,I,post,plus,3,188,C_plus_188
C.I.post.plus_189_1,1701.0586379335164,22266.098981486448,47.67754501219324,C,I,post,plus,2,189,C_plus_189
C.I.post.plus_192_1,1170.1092451161649,15029.266981437599,47.8375374116118,C,I,post,plus,2,192,C_plus_192
C.I.post.plus_193_1,1255.7864735526805,14170.366611785243,51.07738349983754,C,I,post,plus,3,193,C_plus_193
C.I.post.plus_194_1,1601.2906521359807,19010.846237924277,49.60745333017956,C,I,post,plus,2,194,C_plus_194
C.I.post.plus_195_1,3993.9941152248316,61491.925124391804,44.04771745038478,C,I,post,plus,1,195,C_plus_195
C.I.post.plus_196_1,2345.09275330116,28546.55745065815,49.177473756742195,C,I,post,plus,1,196,C_plus_196
C.I.post.plus_197_1,1769.6101275474646,21321.997217068125,49.867440979234715,C,I,post,plus,2,197,C_plus_197
C.I.post.plus_199_1,1546.6733612201078,17991.23290545159,50.42741437719965,C,I,post,plus,2,199,C_plus_199
C.I.post.plus_200_1,1539.014326268163,19896.734294205467,47.97753076110303,C,I,post,plus,2,200,C_plus_200
