rv.number,locus
Rv3378c,Rv3378c
Rv3383c,idsB
Rv3391,acrA1
Rv3411c,guaB2
Rv3415c,Rv3415c
Rv3433c,Rv3433c
Rv3437,Rv3437
Rv3479,Rv3479
Rv3480c,Rv3480c
Rv3490,otsA
Rv3504,fadE26
Rv3520c,Rv3520c
Rv3523,ltp3
Rv3529c,Rv3529c
Rv3576,lppH
Rv3585,radA
Rv3596c,clpC1
Rv3617,ephA
Rv3618,Rv3618
Rv3630,Rv3630
Rv3632,Rv3632
Rv3658c,Rv3658c
Rv3660c,Rv3660c
Rv3666c,dppA
Rv3671c,Rv3671c
Rv3682,ponA2
Rv3689,Rv3689
Rv3694c,Rv3694c
Rv3710,leuA
Rv3719,Rv3719
Rv3723,Rv3723
Rv3725,Rv3725
Rv3728,Rv3728
Rv3730c,Rv3730c
Rv3759c,proX
Rv3762c,Rv3762c
Rv3766,Rv3766
Rv3776,Rv3776
Rv3779,Rv3779
Rv3786c,Rv3786c
Rv3795,embB
Rv3796,Rv3796
Rv3800c,pks13
Rv3839,Rv3839
Rv3843c,Rv3843c
Rv3854c,ethA
Rv3859c,gltB
Rv3877,eccD1
Rv3885c,eccE2
Rv3890c,esxC
Rv3895c,eccB2
Rv3899c,Rv3899c
Rv1112,Rv1112
Rv0024,Rv0024
Rv0045c,Rv0045c
Rv0063,Rv0063
Rv0090,Rv0090
Rv0134,ephF
Rv0176,Rv0176
Rv0590,mce2B
Rv0823c,Rv0823c
Rv0888,Rv0888
Rv1045,Rv1045
Rv1225c,Rv1225c
EBG00000313343,mcr11
Rv1269c,Rv1269c
Rv1444c,Rv1444c
Rv1446c,opcA
Rv1551,plsB1
Rv1730c,Rv1730c
Rv1775,Rv1775
Rv1907c,Rv1907c
Rv1997,ctpF
Rv2027c,dosT
Rv2133c,Rv2133c
Rv2148c,Rv2148c
Rv2339,mmpL9
Rv2437,Rv2437
Rv2526,vapB17
Rv2545,vapB18
Rv2624c,Rv2624c
Rv2709,Rv2709
Rv2848c,cobB
Rv2923c,Rv2923c
Rv3483c,Rv3483c
Rv3773c,Rv3773c
Rv3829c,Rv3829c
Rv3830c,Rv3830c
Rv3847,Rv3847
Rv3894c,eccC2
Rv0001,dnaA
Rv0012,Rv0012
Rv0014c,pknB
Rv0015c,pknA
Rv0035,fadD34
Rv0041,leuS
Rv0058,dnaB
Rv0064,Rv0064
Rv0078A,Rv0078A
Rv0103c,ctpB
Rv0104,Rv0104
Rv0120c,fusA2
Rv0131c,fadE1
Rv0172,mce1D
Rv0182c,sigG
Rv0185,Rv0185
Rv0221,Rv0221
Rv0245,Rv0245
Rv0252,nirB
Rv0277A,vapB25
Rv0290,eccD3
Rv0302,Rv0302
Rv0311,Rv0311
Rv0315,Rv0315
Rv0380c,Rv0380c
Rv0384c,clpB
Rv0398c,Rv0398c
Rv0404,fadD30
Rv0444c,rskA
Rv0452,Rv0452
Rv0457c,Rv0457c
Rv0486,mshA
Rv0492c,Rv0492c
Rv0507,mmpL2
Rv0529,ccsA
Rv0530,Rv0530
Rv0536,galE3
Rv0537c,Rv0537c
Rv0565c,Rv0565c
Rv0575c,Rv0575c
Rv0588,yrbE2B
Rv0594,mce2F
Rv0613c,Rv0613c
Rv0644c,mmaA2
Rv0663,atsD
Rv0673,echA4
Rv0679c,Rv0679c
Rv0682,rpsL
Rv0691c,Rv0691c
Rv0697,Rv0697
Rv0699,Rv0699
Rv0713,Rv0713
Rv0745,Rv0745
Rv0766c,cyp123
Rv0773c,ggtA
Rv0775,Rv0775
Rv0808,purF
Rv0814c,sseC2
Rv0825c,Rv0825c
Rv0838,lpqR
Rv0844c,narL
Rv0855,far
Rv0858c,dapC
Rv0868c,moaD2
Rv0874c,Rv0874c
Rv0893c,Rv0893c
Rv0939,Rv0939
Rv0959,Rv0959
Rv0988,Rv0988
Rv0995,rimJ
Rv1027c,kdpE
Rv1046c,Rv1046c
Rv1048c,Rv1048c
Rv1076,lipU
Rv1090,celA2b
Rv1129c,Rv1129c
Rv1152,Rv1152
Rv1159,pimE
Rv1160,mutT2
Rv1163,narJ
Rv1183,mmpL10
Rv1193,fadD36
Rv1206,fadD6
Rv1217c,Rv1217c
Rv1329c,dinG
Rv1368,lprF
Rv1383,carA
Rv1391,dfp
Rv1400c,lipI
Rv1420,uvrC
Rv1439c,Rv1439c
Rv1458c,Rv1458c
Rv1461,Rv1461
Rv1489,Rv1489
Rv1497,lipL
Rv1520,Rv1520
Rv1527c,pks5
Rv1532c,Rv1532c
Rv1536,ileS
Rv1629,polA
Rv1666c,cyp139
Rv1681,moeX
Rv1769,Rv1769
Rv1771,Rv1771
Rv1785c,cyp143
Rv1821,secA2
Rv1826,gcvH
Rv1835c,Rv1835c
Rv1837c,glcB
Rv1847,Rv1847
Rv1904,Rv1904
Rv1911c,lppC
Rv1920,Rv1920
Rv1925,fadD31
Rv1927,Rv1927
Rv1934c,fadE17
Rv1936,Rv1936
Rv1938,ephB
Rv1972,Rv1972
Rv1978,Rv1978
Rv1986,Rv1986
Rv2000,Rv2000
Rv2023A,Rv2023A
Rv2034,Rv2034
Rv2047c,Rv2047c
Rv2057c,rpmG1
Rv2062c,cobN
Rv2089c,pepE
Rv2096c,pafB
Rv2103c,vapC37
Rv2139,pyrD
Rv2180c,Rv2180c
Rv2191,Rv2191
Rv2214c,ephD
Rv2247,accD6
Rv2248,Rv2248
Rv2274c,mazF8
Rv2280,Rv2280
Rv2290,lppO
Rv2308,Rv2308
Rv2316,uspA
Rv2346c,esxO
Rv2347c,esxP
Rv2349c,plcC
Rv2351c,plcA
Rv2366c,Rv2366c
Rv2383c,mbtB
Rv2400c,subI
Rv2429,ahpD
Rv2433c,Rv2433c
Rv2440c,obg
Rv2450c,rpfE
Rv2471,aglA
Rv2494,vapC38
Rv2495c,bkdC
Rv2502c,accD1
Rv2516c,Rv2516c
Rv2543,lppA
Rv2544,lppB
Rv2564,glnQ
Rv2567,Rv2567
Rv2629,Rv2629
Rv2691,ceoB
Rv2693c,Rv2693c
Rv2724c,fadE20
Rv2736c,recX
Rv2820c,Rv2820c
Rv2831,echA16
Rv2874,dipZ
Rv2891,Rv2891
Rv2899c,fdhD
Rv2905,lppW
Rv2920c,amt
Rv2940c,mas
Rv2941,fadD28
Rv2951c,Rv2951c
Rv2952,Rv2952
Rv2969c,Rv2969c
Rv3015c,Rv3015c
Rv3047c,Rv3047c
Rv3051c,nrdE
Rv3081,Rv3081
Rv3109,moaA1
Rv3174,Rv3174
Rv3196,Rv3196
Rv3199c,nudC
Rv3202c,Rv3202c
Rv3220c,Rv3220c
Rv3272,Rv3272
Rv3282,Rv3282
Rv3283,sseA
Rv3293,pcd
Rv3296,lhr
Rv3317,sdhD
Rv3365c,Rv3365c
Rv3366,spoU
Rv3376,Rv3376
Rv3389c,htdY
Rv3402c,Rv3402c
Rv3407,vapB47
Rv3424c,Rv3424c
Rv3445c,esxU
Rv3446c,Rv3446c
Rv3449,mycP4
Rv3465,rmlC
Rv3487c,lipF
Rv3497c,mce4C
Rv3505,fadE27
Rv3515c,fadD19
Rv3531c,Rv3531c
Rv3537,kstD
Rv3540c,ltp2
Rv3554,fdxB
Rv3591c,Rv3591c
Rv3598c,lysS
Rv3606c,folK
Rv3619c,esxV
Rv3620c,esxW
Rv3674c,nth
Rv3676,crp
Rv3680,Rv3680
Rv3691,Rv3691
Rv3715c,recR
Rv3722c,Rv3722c
Rv3727,Rv3727
Rv3729,Rv3729
Rv3758c,proV
Rv3774,echA21
Rv3782,glfT1
Rv3788,Rv3788
Rv3797,fadE35
Rv3801c,fadD32
Rv3805c,aftB
Rv3820c,papA2
Rv3826,fadD23
Rv3835,Rv3835
Rv3837c,Rv3837c
Rv3842c,ncrMT3949
Rv3876,espI
Rv3908,mutT4
Rv3910,Rv3910
Rv0191,Rv0191
Rv0236c,aftD
Rv1758,cut1
Rv2947c,pks15
Rv0018c,pstP
Rv0192A,Rv0192A
Rv0193c,Rv0193c
Rv0205,Rv0205
Rv0257,Rv0257
Rv0275c,Rv0275c
Rv0312,Rv0312
Rv0342,iniA
Rv0359,Rv0359
Rv0370c,Rv0370c
Rv0377,Rv0377
Rv0389,purT
Rv0431,Rv0431
Rv0434,Rv0434
Rv0438c,moeA2
Rv0484c,Rv0484c
Rv0500,proC
Rv0591,mce2C
Rv0604,lpqO
Rv0621,Rv0621
Rv0723,rplO
Rv0777,purB
Rv0822c,Rv0822c
Rv0851c,Rv0851c
Rv0909,Rv0909
Rv0952,sucD
Rv0981,mprA
Rv0992c,Rv0992c
Rv0994,moeA1
Rv0996,Rv0996
Rv1005c,pabB
Rv1078,pra
Rv1127c,ppdK
Rv1178,Rv1178
Rv1198,esxL
Rv1215c,Rv1215c
Rv1226c,Rv1226c
Rv1250,Rv1250
Rv1253,deaD
Rv1262c,Rv1262c
Rv1274,lprB
Rv1301,Rv1301
Rv1326c,glgB
Rv1375,Rv1375
Rv1384,carB
Rv1397c,vapC10
Rv1407,fmu
Rv1409,ribG
Rv1504c,Rv1504c
Rv1596,nadC
Rv1675c,cmr
Rv1707,Rv1707
Rv1708,Rv1708
Rv1736c,narX
Rv1819c,bacA
Rv1870c,Rv1870c
Rv1899c,lppD
Rv1905c,aao
Rv1979c,Rv1979c
Rv1998c,Rv1998c
Rv2036,Rv2036
Rv2083,Rv2083
Rv2208,cobS
Rv2240c,Rv2240c
Rv2306A,Rv2306A
Rv2359,zur
Rv2395,Rv2395
Rv2415c,Rv2415c
Rv2462c,tig
Rv2483c,plsC
Rv2533c,nusB
Rv2559c,Rv2559c
Rv2599,Rv2599
Rv2628,Rv2628
Rv2668,Rv2668
Rv2690c,Rv2690c
Rv2714,Rv2714
Rv2796c,lppV
Rv2813,Rv2813
Rv2837c,Rv2837c
Rv2877c,Rv2877c
Rv2930,fadD26
Rv2932,ppsB
Rv2935,ppsE
Rv2936,drrA
Rv3096,Rv3096
Rv3106,fprA
Rv3128c,Rv3128c
Rv3138,pflA
Rv3153,nuoI
Rv3185-Rv3186,Rv3185-Rv3186
Rv3193c,Rv3193c
Rv3244c,lpqB
Rv3266c,rmlD
Rv3275c,purE
Rv3308,pmmB
Rv3310,sapM
Rv3373,echA18
Rv3379c-Rv3380c,dxs2-Rv3380c
Rv3381c-Rv3382c,Rv3381c-lytB1
Rv3392c,cmaA1
Rv3395c,Rv3395c
Rv3475-Rv3476c,Rv3475-kgtP
Rv3551,Rv3551
Rv3555c,Rv3555c
Rv3570c,hsaA
Rv3627c,Rv3627c
Rv3696c,glpK
Rv3711c,dnaQ
Rv3753c,Rv3753c
Rv3764c,tcrY
Rv3793,embC
Rv3806c,ubiA
Rv3822,Rv3822
Rv3823c,mmpL8
Rv3862c-Rv3863,whiB6-Rv3863
Rv3891c,esxD
Rv3909,Rv3909
Rv1371,Rv1371
Rv0133,Rv0133
Rv1469,ctpD
Rv1668c,Rv1668c
Rv1844c,gnd1
Rv1883c,Rv1883c
Rv1888c,Rv1888c
Rv1976c-Rv1977,Rv1976c-Rv1977
Rv2016,Rv2016
Rv0020c,fhaA
Rv2250A,Rv2250A
Rv3060c-Rv3061c,Rv3060c-fadE22
Rv3453,Rv3453
Rv3655c,Rv3655c
Rv3911,sigM
Rv0703-Rv0704,rplW-rplB
Rv3432c,gadB
Rv0027,Rv0027
Rv0314c,Rv0314c
Rv0374c,Rv0374c
Rv0656c,vapC6
Rv0726c,Rv0726c
Rv0764c,cyp51
Rv0767c,Rv0767c
Rv0789c,Rv0789c
Rv0867c,rpfA
Rv0877,Rv0877
Rv0974c,accD2
Rv0989c,grcC2
Rv1105,Rv1105
Rv1117,Rv1117
Rv1194c,Rv1194c
Rv1272c,Rv1272c
Rv1289,Rv1289
Rv1364c,Rv1364c
Rv1399c,nlhH
Rv1429,Rv1429
Rv1467c,fadE15
Rv1966,mce3A
Rv2039c,Rv2039c
Rv2171,lppM
Rv2194,qcrC
Rv2384,mbtA
Rv2401,Rv2401
Rv2457c,clpX
Rv2661c,Rv2661c
Rv2821c,Rv2821c
Rv2992c,gltS
Rv3160c,Rv3160c
Rv3249c,Rv3249c
Rv3262,fbiB
Rv3351c,Rv3351c
Rv3358,relK
Rv3377c,Rv3377c
Rv3401,Rv3401
Rv3406,Rv3406
Rv3607c,folB
Rv3701c,Rv3701c
Rv3785,Rv3785
Rv3804c,fbpA
Rv3887c,eccD2
Rv3903c,Rv3903c
Rv0175,Rv0175
Rv2084,Rv2084
Rv2092c-Rv2093c,helY-tatC
Rv3427c-Rv3428c,Rv3427c-Rv3428c
Rv0036c,Rv0036c
Rv0353,hspR
Rv0783c,emrB
Rv3074,Rv3074
Rv3399,Rv3399
Rv0071,Rv0071
Rv0111,Rv0111
Rv0162c,adhE1
Rv0316,Rv0316
Rv0346c,ansP2
Rv0368c,Rv0368c
Rv0396,Rv0396
Rv0402c,mmpL1
Rv0931c,pknD
Rv1026,Rv1026
Rv1154c,Rv1154c
Rv1286,cysN
Rv1324,Rv1324
Rv1330c,pncB1
Rv1616,Rv1616
Rv1902c,nanT
Rv2064,cobG
Rv2299c,htpG
Rv2368c,phoH1
Rv2464c,Rv2464c
Rv2501c,accA1
Rv2584c,apt
Rv2662,Rv2662
Rv2977c,thiL
Rv3212,Rv3212
Rv3227,aroA
Rv3550,echA20
Rv3611,Rv3611
Rv0571c,Rv0571c
Rv3587c,Rv3587c
Rv0005,gyrB
Rv1267c,embR
Rv2168c-Rv2169c,Rv2168c-Rv2169c
Rv2434c,Rv2434c
Rv3183-Rv3184,Rv3183-Rv3184
Rv3281,accE5
Rv3018A-Rv3019c,PE27A-esxR
Rv3019c-Rv3020c,esxR-esxS
Rv3460c-Rv3461c,rpsM-rpmJ
Rv0050,ponA1
Rv2080,lppJ
Rv3056,dinP
Rv0125,pepA
Rv0127,mak
Rv0174,mce1F
Rv0222,echA1
Rv0258c,Rv0258c
Rv0266c,oplA
Rv0270,fadD2
Rv0344c,lpqJ
Rv0806c,cpsY
Rv0908,ctpE
Rv1058,fadD14
Rv1448c,tal
Rv1516c,Rv1516c
Rv1564c,treX
Rv1617,pykA
Rv1633,uvrB
Rv1877,Rv1877
Rv2052c,Rv2052c
Rv2124c,metH
Rv2257c,Rv2257c
Rv2579,dhaA
Rv3068c,pgmA
Rv3240c,secA1
Rv3409c,choD
Rv3635,Rv3635
Rv3693,Rv3693
Rv3855,ethR
Rv2478c-Rv2479c,Rv2478c-Rv2479c
Rv1682,Rv1682
Rv2024c,Rv2024c
Rv3159c-Rv3160c,PPE53-Rv3160c
Rv3473c-Rv3474,bpoA-Rv3474
Rv3897c,Rv3897c
Rv0341,iniB
Rv0873,fadE10
Rv1153c,omt
Rv0051,Rv0051
Rv0317c,glpQ2
Rv0361,Rv0361
Rv0426c,Rv0426c
Rv0517,Rv0517
Rv0528,Rv0528
Rv0577,TB27.3
Rv0634c,Rv0634c
Rv1140,Rv1140
Rv1162,narH
Rv1207,folP2
Rv1627c,Rv1627c
Rv1638,uvrA
Rv1665,pks11
Rv1916,aceAb
Rv2112c,dop
Rv2181,Rv2181
Rv2318,uspC
Rv2416c,eis
Rv2715,Rv2715
Rv2716,Rv2716
Rv2726c,dapF
Rv2727c,miaA
Rv2832c,ugpC
Rv2996c,serA1
Rv3167c,Rv3167c
Rv3239c,Rv3239c
Rv3323c,moaX
Rv3393,iunH
Rv3665c,dppB
Rv3886c,mycP2
Rv1610,Rv1610
Rv1674c,Rv1674c
Rv1754c,Rv1754c
Rv2262c,Rv2262c
Rv0934,pstS1
Rv0962c,lprP
Rv0756c-Rv0757,Rv0756c-phoP
Rv0961,Rv0961
Rv1699,pyrG
Rv1774,Rv1774
Rv2071c,cobM
Rv3649,Rv3649
EBG00000313324,B11
Rv3687c,rsfB
Rv0082,Rv0082
Rv0083,Rv0083
Rv0102,Rv0102
Rv0170,mce1B
Rv0220,lipC
Rv0225,Rv0225
Rv0281,Rv0281
Rv0296c,Rv0296c
Rv0345,Rv0345
Rv0365c,Rv0365c
Rv0403c,mmpS1
Rv0406c,Rv0406c
Rv0419,lpqM
Rv0439c,Rv0439c
Rv0458,Rv0458
Rv0482,murB
Rv0487,Rv0487
Rv0625c,Rv0625c
Rv0642c,mmaA4
Rv0652,rplL
Rv0671,lpqP
Rv0694,lldD1
Rv0782,ptrBb
Rv0792c,Rv0792c
Rv0870c,Rv0870c
Rv0938,ligD
Rv0944,Rv0944
Rv0958,Rv0958
Rv0963c,Rv0963c
Rv1025,Rv1025
Rv1028c,kdpD
Rv1145,mmpL13a
Rv1173,fbiC
Rv1244,lpqZ
Rv1248c,Rv1248c
Rv1307,atpH
Rv1394c,cyp132
Rv1455,Rv1455
Rv1460,Rv1460
Rv1489A,Rv1489A
Rv1541c,lprI
Rv1552,frdA
Rv1562c,treZ
